Titles,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,International,Romance,Horror,Mystery,Documentary
A Good Year,PG13,25,65,6.9,47,7459300,2006,0,0,0,0,1,1,0,1,0,0,0
Grandma's Boy,R,16,85,7,33,6090172,2006,0,0,0,0,1,0,0,0,0,0,0
Notes on a Scandal,R,87,83,7.4,73,17510118,2006,0,0,0,0,0,1,0,0,0,0,0
An Inconvenient Truth,PG,93,78,7.5,75,24146161,2006,0,0,0,0,0,0,0,0,0,0,1
Southland Tales,R,38,41,5.5,44,275380,2006,0,0,0,1,1,0,0,0,0,1,0
The Good German,R,32,34,6.1,49,1308696,2006,0,0,0,0,0,1,0,1,0,1,0
World Trade Center,PG13,67,60,6,66,70278893,2006,0,0,0,0,0,1,0,0,0,0,0
Ice Age: The Meltdown,PG,57,71,6.8,58,195330621,2006,1,1,1,0,1,0,0,0,0,0,1
The Sentinel,PG13,33,40,6.1,49,36280697,2006,0,0,0,0,0,1,0,0,0,1,0
The Lake House,PG,35,73,6.8,52,52330111,2006,0,0,0,0,0,1,0,1,0,0,0
The Ant Bully,PG,63,42,5.9,59,28142535,2006,0,1,1,0,1,1,0,0,0,0,0
Crank,R,61,71,7,57,27838408,2006,1,0,0,0,1,0,0,0,0,1,0
Happy Feet,PG,75,70,6.5,77,198000317,2006,0,1,1,0,1,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,PG13,54,72,7.3,53,423315812,2006,1,0,0,1,1,0,0,0,0,0,0
Daddy Day Camp,PG,1,37,2.9,13,13235267,2007,0,0,0,0,1,0,0,0,0,0,0
Superbad,R,87,87,7.6,76,121463226,2007,0,0,0,0,1,0,0,0,0,0,0
Premonition,PG13,8,50,5.9,29,47852604,2007,0,0,0,1,0,1,0,0,0,1,0
Michael Clayton,R,90,69,7.3,82,49033882,2007,0,0,0,0,0,1,0,0,0,1,0
Epic Movie,R,2,29,2.3,17,39739367,2007,1,0,0,0,1,0,0,0,0,0,0
I'm Not There.,R,77,69,7,73,4017609,2007,0,0,0,0,0,1,0,0,0,0,0
Into the Wild,R,82,89,8.1,73,18354356,2007,1,0,0,0,0,1,0,0,0,0,0
Zodiac,R,90,77,7.7,78,33080084,2007,0,0,0,0,0,0,0,0,0,1,0
Reno 911!: Miami,R,34,51,5.9,47,20342161,2007,0,0,0,0,1,0,0,0,0,0,0
Dragon Wars: D-War,PG13,28,19,3.6,33,10977721,2007,1,0,0,1,0,1,0,0,0,0,0
Diary of the Dead,R,61,41,5.7,66,952620,2007,0,0,0,0,0,0,0,0,1,1,0
Wild Hogs,PG13,14,61,5.9,27,168213584,2007,1,0,0,0,1,0,0,0,0,0,0
Lucky You,PG13,29,28,5.9,49,5755286,2007,0,0,0,0,0,1,0,0,0,0,0
Sunshine,R,76,73,7.3,64,3688560,2007,0,0,0,1,0,1,0,0,0,0,0
Spider-Man 3,PG13,63,51,6.2,59,336530303,2007,1,0,0,1,0,0,0,0,0,1,0
Yes Man,PG13,46,66,6.8,46,97690976,2008,0,0,0,0,1,0,0,0,0,0,0
RockNRolla,R,59,71,7.3,53,5700626,2008,1,0,0,0,0,1,0,0,0,0,0
Sex Drive,R,46,58,6.5,49,8402485,2008,0,0,0,0,1,0,0,0,0,0,0
Fireproof,PG,40,82,6.6,28,33456317,2008,0,0,0,0,0,1,0,0,0,0,0
Harold & Kumar Escape from Guantanamo Bay,R,52,60,6.6,57,38108728,2008,0,0,0,0,1,0,0,0,0,0,0
Step Up 2: The Streets,PG13,27,76,6.2,50,58017783,2008,0,0,0,0,0,1,0,1,0,0,0
27 Dresses,PG13,41,57,6.1,47,76808654,2008,0,0,0,0,1,0,0,1,0,0,0
The Love Guru,PG13,13,33,3.8,24,32200122,2008,0,0,0,0,1,0,0,0,0,0,0
