,Title,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,Romance,Horror,Mystery,title,budget,popularity,production_companies,release_date,revenue,runtime,status,tagline,vote_average,vote_count,allFans,allCritics,aggregate_rating,profit_pct,profit_margin
15,Duplex,PG13,35,40,59.0,50,12.5476,2003,0,0,0,0,1,0,0,0,0,Duplex,52.0,12.160363,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Flower Films', 'id': 2214}]",2003-09-26,19322135.0,89.0,Released,,5.9,500.0,49.5,42.5,46.0,0.2413,-3.144218814753419
16,Freddy vs. Jason,R,41,50,58.0,37,107.4094515,2003,0,0,0,0,0,0,0,1,1,Freddy vs. Jason,39.0,14.015739,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Cecchi Gori Group Tiger Cinematografica', 'id': 371}, {'name': 'Avery Pix', 'id': 1565}, {'name': 'Sean S. Cunningham Films', 'id': 17611}, {'name': 'Crystal Lake Entertainment', 'id': 21783}, {'name': 'WTC Productions', 'id': 50102}, {'name': 'Yannix Technology Corporation', 'id': 53063}]",2003-08-15,114908830.0,97.0,Released,Evil Will Battle Evil,5.8,608.0,54.0,39.0,46.5,2.7540885,0.6369034618894781
17,The Haunted Mansion,PG,13,30,49.0,34,98.56339220000001,2003,0,0,1,1,1,0,0,1,1,The Haunted Mansion,117.0,11.605735,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Gunn Films', 'id': 3538}, {'name': 'Doom Buggy Productions', 'id': 47122}]",2003-11-25,182290266.0,87.0,Released,Check your pulse at the door... if you have one.,5.1,481.0,39.5,23.5,31.5,0.8424221555555557,-0.18705330030230016
18,21 Grams,R,81,86,77.0,70,21.1233113,2003,0,0,0,0,0,1,0,0,0,21 Grams,26.0,6.372278,"[{'name': 'This Is That Productions', 'id': 10059}, {'name': 'Y Productions', 'id': 10887}, {'name': 'Mediana Productions Filmgesellschaft', 'id': 10888}]",2003-09-06,60427839.0,124.0,Released,How much does life weigh?,7.2,943.0,81.5,75.5,78.5,0.81243505,-0.23086762443348544
19,Pirates of the Caribbean: The Curse of the Black Pearl,PG13,79,86,80.0,63,397.03459119999997,2003,1,0,0,1,0,0,0,0,0,Pirates of the Caribbean: The Curse of the Black Pearl,182.0,47.326665,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}]",2003-07-09,655011224.0,143.0,Released,Prepare to be blown out of the water.,7.5,7191.0,83.0,71.0,77.0,2.1815087428571425,0.5416016537755011
20,Hollywood Homicide,PG13,30,27,53.0,47,39.2701205,2003,1,0,0,0,1,0,0,0,0,Hollywood Homicide,97.5,11.080439,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Revolution Studios', 'id': 497}]",2003-06-09,51142659.0,116.0,Released,,5.0,172.0,40.0,38.5,39.25,0.40277046666666666,-1.482803687857286
21,Shattered Glass,PG13,91,79,72.0,73,2.8703675,2003,0,0,0,0,0,1,0,0,0,Shattered Glass,7.8,6.0872,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Cruise/Wagner Productions', 'id': 44}, {'name': 'Baumgarten Merims Productions', 'id': 14652}]",2003-11-14,2944752.0,94.0,Released,,6.6,114.0,75.5,82.0,78.75,0.36799583333333336,-1.717422072260782
22,X2,PG13,86,85,75.0,68,279.4346022,2003,1,0,0,1,0,0,0,0,0,X2,143.0,0.913096,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': ""Donners' Company"", 'id': 431}, {'name': 'Bad Hat Harry Productions', 'id': 9168}, {'name': 'Marvel Enterprises', 'id': 19551}, {'name': 'XM2 Productions', 'id': 79026}, {'name': 'XF2 Canada Productions', 'id': 79027}]",2003-04-24,407711549.0,133.0,Released,The time has come for those who are different to stand united.,6.8,3572.0,80.0,77.0,78.5,1.954088127272727,0.4882523535948834
23,The Jungle Book 2,G,19,30,54.0,38,62.2720566,2003,0,1,1,0,0,0,0,0,0,The Jungle Book 2,26.0,10.605851,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Television Animation', 'id': 3475}, {'name': 'Walt Disney Animation Australia', 'id': 3476}, {'name': 'DisneyToon Studios', 'id': 5391}]",2003-02-07,135680000.0,72.0,Released,Feel the jungle beat,5.6,278.0,42.0,28.5,35.25,2.3950791,0.5824772551353314
24,Big Fish,PG13,77,89,80.0,58,86.36272710000001,2003,0,0,0,0,1,1,0,0,0,Big Fish,91.0,14.739983,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'The Zanuck Company', 'id': 80}, {'name': 'Jinks/Cohen Company', 'id': 2721}, {'name': 'Tim Burton Productions', 'id': 8601}]",2003-12-25,122919055.0,125.0,Released,An adventure as big as life itself.,7.6,2064.0,84.5,67.5,76.0,0.9490409571428573,-0.053695304163223725
25,The Rundown,PG13,70,66,67.0,59,61.9342659,2003,1,0,0,0,1,0,0,0,0,The Rundown,110.5,8.304835,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Strike Entertainment', 'id': 655}, {'name': 'WWE Studios', 'id': 10339}, {'name': 'Misher Films', 'id': 11581}, {'name': 'IM3 Entertainment', 'id': 90249}]",2003-09-26,80916492.0,104.0,Released,cut to the chase,6.4,523.0,66.5,64.5,65.5,0.5604910941176471,-0.784149668915346
26,The Hunted,R,29,47,60.0,40,44.5042104,2003,1,0,0,0,0,0,0,0,1,The Hunted,71.5,7.481524,"[{'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'Alphaville Films', 'id': 11462}]",2003-03-11,34234008.0,94.0,Released,Some men should not be found.,6.0,194.0,53.5,34.5,44.0,0.6224365090909091,-0.6065895643887214
27,Connie and Carla,PG13,44,70,63.0,44,10.1398815,2004,0,0,0,0,1,0,0,0,0,Connie and Carla,25.2,9.502332,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'CCLA Productions', 'id': 95595}]",2004-04-16,11341016.0,98.0,Released,"When you follow your dream, there's no telling what you'll become.",6.4,24.0,66.5,44.0,55.25,0.40237625,-1.4852361440318607
28,The Punisher,R,29,63,65.0,33,42.417106200000006,2004,1,0,0,0,0,1,0,0,0,The Punisher,11.34,12.597613,"[{'name': 'New World Pictures', 'id': 1950}]",1989-10-05,0.0,89.0,Released,,5.5,109.0,64.0,31.0,47.5,3.7404855555555563,0.73265502963519
29,The Cookout,PG13,5,37,36.0,15,14.540541119999999,2004,0,0,0,0,1,0,0,0,0,The Cookout,20.16,1.758079,"[{'name': 'Cookout Productions', 'id': 3494}]",2004-09-03,12.0,97.0,Released,"This summer, get your grill on!",4.6,10.0,36.5,10.0,23.25,0.7212569999999999,-0.38646834623442144
30,Along Came Polly,PG13,25,47,59.0,44,110.97261882000001,2004,0,0,0,0,1,1,1,0,0,Along Came Polly,52.92,15.725542,"[{'name': 'Jersey Films', 'id': 216}, {'name': 'Loofah Productions', 'id': 53626}]",2004-01-16,171963386.0,90.0,Released,"For the most cautious man on Earth, life is about to get interesting.",5.8,795.0,53.0,34.5,43.75,2.096988261904762,0.52312560915736
31,Team America: World Police,R,77,80,72.0,64,41.296290840000005,2004,0,0,0,0,1,1,0,0,0,Team America: World Police,40.32,11.428941,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Scott Rudin Productions', 'id': 258}]",2004-10-10,50907422.0,98.0,Released,Putting The 'F' back in 'Freedom',6.6,667.0,76.0,70.5,73.25,1.0242135625000002,0.023641126603417835
32,EuroTrip,R,46,75,66.0,45,22.32496098,2004,0,0,0,0,1,0,0,0,0,EuroTrip,31.5,6.275468,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'The Montecito Picture Company', 'id': 2364}, {'name': 'Blue Sea Productions', 'id': 53012}]",2004-02-20,20796847.0,93.0,Released,No actual Europeans were harmed in the making of this film.,6.5,673.0,70.5,45.5,58.0,0.70872892,-0.4109767102491034
33,Harry Potter and the Prisoner of Azkaban,PG,91,86,78.0,82,314.41907951999997,2004,0,0,1,1,0,0,0,0,0,Harry Potter and the Prisoner of Azkaban,163.8,28.460276,"[{'name': '1492 Pictures', 'id': 436}, {'name': 'Heyday films', 'id': 437}, {'name': 'Warner Bros.', 'id': 6194}]",2004-05-31,789804554.0,141.0,Released,Something wicked this way comes.,7.7,6037.0,82.0,86.5,84.25,1.9195303999999997,0.4790392483494921
34,Hidalgo,PG13,47,64,67.0,54,84.78128106,2004,1,0,0,0,0,0,0,0,0,Hidalgo,126.0,8.140709,"[{'name': 'Casey Silver Productions', 'id': 877}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Dune Films', 'id': 19477}]",2004-03-05,108103450.0,136.0,Released,Unbridled. Unbroken. Unbeaten.,6.5,321.0,65.5,50.5,58.0,0.67286731,-0.4861771186357679
35,The Alamo,PG13,29,45,60.0,47,28.23201612,2004,1,0,0,0,0,1,0,0,0,The Alamo,15.12,4.73816,"[{'name': 'United Artists', 'id': 60}, {'name': 'Batjac Productions', 'id': 2532}, {'name': 'The Alamo Company', 'id': 12187}]",1960-10-23,7900000.0,167.0,Released,The Mission That Became a Fortress! The Fortress That Became a Shrine!,6.5,63.0,52.5,38.0,45.25,1.8671968333333335,0.4644378235074485
36,Ocean's Twelve,PG13,55,60,65.0,58,158.16985884000002,2004,1,0,0,0,1,1,0,0,0,Ocean's Twelve,138.6,11.869347,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Section Eight', 'id': 129}, {'name': 'Jerry Weintraub Productions', 'id': 2596}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'WV Films III', 'id': 12202}]",2004-12-09,362744280.0,125.0,Released,Twelve is the new eleven.,6.4,2169.0,62.5,56.5,59.5,1.1411966727272729,0.12372685278676462
37,After the Sunset,PG13,18,52,63.0,38,35.69344632,2004,1,0,0,0,1,1,0,0,0,After the Sunset,75.6,11.945666,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Contrafilm', 'id': 1836}, {'name': 'Firm Films', 'id': 1838}]",2004-11-12,61347797.0,97.0,Released,Who will walk away?,6.0,227.0,57.5,28.0,42.75,0.47213553333333336,-1.1180358803750279
38,Catwoman,PG13,9,18,33.0,27,50.65499754,2004,1,0,0,0,0,1,0,0,0,Catwoman,126.0,13.340272,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'DiNovi Pictures', 'id': 813}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Frantic Films', 'id': 52945}, {'name': 'Maple Shade Films', 'id': 52946}, {'name': 'Catwoman Films', 'id': 52947}]",2004-07-22,82102379.0,104.0,Released,CATch her in IMAX,4.2,833.0,25.5,18.0,21.75,0.40202379,-1.4874149860633872
39,The Sea Inside,PG13,84,92,80.0,74,2.6287947000000003,2004,0,0,0,0,0,1,0,0,0,The Sea Inside,16.13556,14.69768,"[{'name': 'Canal Plus', 'id': 104}, {'name': 'Sogecine', 'id': 692}, {'name': 'Himenóptero', 'id': 784}, {'name': 'Eurimages', 'id': 850}, {'name': 'Televisión Española (TVE)', 'id': 6639}, {'name': 'Union Générale Cinématographique (UGC)', 'id': 7248}, {'name': 'Televisión de Galicia (TVG) S.A.', 'id': 10050}, {'name': 'Ministerio de Cultura', 'id': 11408}, {'name': 'Sogepaq', 'id': 11955}, {'name': 'Eyescreen S.r.l.', 'id': 12012}, {'name': 'Filmanova', 'id': 28812}]",2004-09-03,38535221.0,125.0,Released,Sensitive Drama About a Polemic Theme,7.2,224.0,86.0,79.0,82.5,0.16291933468686554,-5.138006897229365
40,The Bourne Supremacy,PG13,81,90,78.0,73,221.870187,2004,1,0,0,0,0,1,0,0,1,The Bourne Supremacy,94.5,20.40426,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Kennedy/Marshall Company', 'id': 862}, {'name': 'Hypnotic', 'id': 7384}, {'name': 'Motion Picture THETA Produktionsgesellschaft', 'id': 11346}, {'name': 'Ludlum Entertainment', 'id': 11347}]",2004-07-23,288500217.0,108.0,Released,They should have left him alone.,7.2,2873.0,84.0,77.0,80.5,2.3478326666666667,0.5740752677149904
41,The Life Aquatic with Steve Zissou,R,56,82,73.0,62,30.24847476,2004,1,0,0,0,1,1,0,0,0,The Life Aquatic with Steve Zissou,63.0,6.936677,"[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'American Empirical Pictures', 'id': 23449}]",2004-12-10,34808403.0,119.0,Released,"The deeper you go, the weirder life gets.",7.1,781.0,77.5,59.0,68.25,0.48013452,-1.0827496427459538
42,White Noise,PG13,8,31,55.0,30,68.4351192,2005,0,0,0,0,0,1,0,1,1,White Noise,12.2,6.143324,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Brightlight Pictures', 'id': 1063}, {'name': 'Endgame Entertainment', 'id': 1205}, {'name': 'The Movie Network (TMN)', 'id': 3388}, {'name': 'Canadian Film or Video Production Tax Credit (CPTC)', 'id': 8582}, {'name': 'Province of British Columbia Film Incentive BC', 'id': 11567}, {'name': 'Corus', 'id': 11573}, {'name': 'Gold Circle Films', 'id': 12026}, {'name': 'White Noise UK Ltd.', 'id': 55258}]",2005-01-07,91196419.0,101.0,Released,The line separating the living from the dead has been crossed.,5.6,267.0,43.0,19.0,31.0,5.6094360000000005,0.8217289581341154
43,Sin City,R,78,78,80.0,74,90.40666039999999,2005,1,0,0,0,0,1,0,0,1,Sin City,48.8,15.010525,"[{'name': 'Dimension Films', 'id': 7405}, {'name': 'Troublemaker Studios', 'id': 10807}, {'name': 'Miramax', 'id': 53009}]",2005-04-01,158733820.0,124.0,Released,Walk down the right back alley in Sin City and you can find anything...,7.2,2755.0,79.0,76.0,77.5,1.8525955,0.4602167607553834
44,Cinderella Man,PG13,80,91,80.0,69,75.21289142,2005,1,0,0,0,0,1,0,0,0,Cinderella Man,107.36,6.363884,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Parkway Pictures (I)', 'id': 631}, {'name': 'Touchstone Pictures', 'id': 9195}]",2005-06-02,108539911.0,144.0,Released,One man's extraordinary fight to save the family he loved.,7.3,630.0,85.5,74.5,80.0,0.7005671704545455,-0.4274148749379378
45,A Sound of Thunder,PG13,6,18,42.0,24,2.3185502199999997,2005,1,0,0,1,0,1,0,1,0,A Sound of Thunder,97.6,4.980191,"[{'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Baldwin Entertainment Group', 'id': 2234}, {'name': 'Dante Entertainment', 'id': 2755}, {'name': 'Crusader Entertainment', 'id': 2978}, {'name': 'ETIC Films', 'id': 2979}, {'name': 'Forge', 'id': 2980}, {'name': 'QI Quality International GmbH Co. KG', 'id': 2981}, {'name': 'Signature Pictures', 'id': 2982}, {'name': 'ApolloMedia Distribution', 'id': 16850}, {'name': 'Coco', 'id': 87847}, {'name': 'Film 111', 'id': 87848}, {'name': 'Jericho Productions Ltd.', 'id': 87849}, {'name': 'MFF (Sound of Thunder)', 'id': 87850}, {'name': 'Matrix Film Finance', 'id': 87851}, {'name': 'Scenario Lane Productions', 'id': 87852}]",2005-05-15,5989640.0,110.0,Released,Some Rules Should Never Be Broken.,4.8,111.0,30.0,15.0,22.5,0.0237556375,-41.0952710698671
46,The Curse of the Were-Rabbit,G,95,79,75.0,87,68.40362734,2005,1,1,1,0,1,0,0,0,0,The Curse of the Were-Rabbit,36.6,11.766244,"[{'name': 'Aardman Animations', 'id': 297}, {'name': 'DreamWorks Animation', 'id': 521}]",2005-09-04,192452832.0,85.0,Released,Something bunny is going on...,6.8,660.0,77.0,91.0,84.0,1.8689515666666665,0.464940655587169
